Document,Primary Introducer,Status,Description,Document ID,Year
LB375,Raikes,Indefinitely postponed,Rename and change the Minority Scholarship Program Act,442,2007
LB376,Ashford,Indefinitely postponed,Change felony complaint procedures,799,2007
LB377,Ashford,Final Reading,"Reallocate county, district, and separate juvenile court judgeships and change salary provisions of judges",798,2007
LB377A,Ashford,Final Reading,Appropriations bill,2929,2007
LB378,Pahls,Indefinitely postponed,Change the Small Employer Health Insurance Availability Act,780,2007
LB379,Pahls,Passed,"Change certain corporate reporting, notice, and filing provisions and eliminate references to professional limited liability companies",648,2007
LB380,Pahls,Passed,Change a license application requirement under the Mortgage Bankers Registration and Licensing Act,649,2007
LB381,Pahls,Indefinitely postponed,Eliminate oral requests for information regarding farm product liens,650,2007
LB382,Pahls,Final Reading,Change provisions relating to notaries public,652,2007
LB383,Pahls,Passed,Change filing requirements involving the address of a partnership's agent,653,2007
LB384,Wightman,Indefinitely postponed,Prohibit certain actions by judgment creditors,125,2007
LB385,Johnson,Indefinitely postponed,Change provisions relating to advanced practice registered nurses,65,2007
LB386,Langemeier,Passed,Adopt the Nebraska Security Instrument Satisfaction Act,515,2007
LB387,Langemeier,Indefinitely postponed,Require separate plumbing and water metering for new construction as prescribed,897,2007
LB388,Aguilar,Final Reading,Change duties and membership of the Economic Development Commission and the Department of Economic Development,214,2007
LB389,Aguilar,Final Reading,Change provisions relating to public records,989,2007
LB390,Aguilar,Final Reading,Require certain rules and regulations related to underground storage tanks and tank operators,202,2007
LB391,Mines,Indefinitely postponed,Change provisions relating to public records and meetings,853,2007
LB392,Mines,Indefinitely postponed,Change provisions relating to municipal counties,672,2007
LB393,Mines,Indefinitely postponed,Redefine award and eligible student for purposes of the Nebraska Scholarship Act,832,2007
LB394,Burling,Indefinitely postponed,Change provisions relating to nomination for office,614,2007
LB395,Johnson,Passed,Adopt a new Nebraska Clean Indoor Air Act,128,2007
LB395A,Johnson,Passed,Appropriations bill,2122,2007
LB396,Johnson,Final Reading,Increase the range of fees imposed by the State Board of Landscape Architects,511,2007
LB396A,Johnson,Indefinitely postponed,Appropriations bill,1955,2007
LB397,Johnson,Indefinitely postponed,Adopt the In-home Personal Care Services Act,658,2007
LB398,Johnson,Indefinitely postponed,Change provisions relating to credentialing optometrists,490,2007
LB399,Johnson,Indefinitely postponed,Adopt the Perfusion Practice Act,783,2007
LB400,Johnson,Indefinitely postponed,Require an audit of medicaid drug rebate payments,848,2007
LB400A,Johnson,Indefinitely postponed,Appropriations bill,2142,2007
LB401,Schimek,Indefinitely postponed,Provide for notations on drivers' licenses and state identification cards regarding advance medical directives,140,2007
LB402,Schimek,Indefinitely postponed,Provide duties for the Director of Research relating to redistricting plans,182,2007
LB403,Schimek,Indefinitely postponed,Change distribution and allocation of certain sales tax revenue and road funds,754,2007
LB404,Janssen,Indefinitely postponed,Change Nebraska Liquor Control Commission members' salaries,638,2007
LB404A,Janssen,Indefinitely postponed,Appropriations bill,1956,2007
LB405,Pedersen,Indefinitely postponed,Provide for additional city council members for cities of the metropolitan class ,315,2007
LB406,Pedersen,Indefinitely postponed,Provide for presumptive parole release dates,739,2007
LB407,Pedersen,Indefinitely postponed,Change driving under the influence penalty provisions with respect to ignition interlock devices,761,2007
LB408,Preister,Indefinitely postponed,Change provisions relating to certain public contracts for services,852,2007
