Document,Primary Introducer,Status,Description,Document ID,Year
LB573,Harr,Passed,Change provisions relating to an adjustment to income for certain capital gains and extraordinary dividends,18734,2013
LB574,Harr,Indefinitely postponed,Provide that certain assessments are levied and collected as special assessments,18812,2013
LB575,Harr,Indefinitely postponed,Provide for professional development training for school board and learning community coordinating council members,17882,2013
LB576,Harr,Indefinitely postponed,Require flagging of area near polling places and change restrictions on electioneering,18597,2013
LB577,Campbell,Indefinitely postponed,Change provisions relating to the medical assistance program,18187,2013
LB577A,Campbell,Indefinitely postponed,Appropriation Bill,21035,2013
LB578,Nordquist,Indefinitely postponed,Create a fund to provide funding for medicaid services and change distribution of premium tax revenue,18618,2013
LB579,Karpisek,Passed,Provide a duty regarding administration and enforcement of the Nebraska Liquor Control Act,18904,2013
LB579A,Karpisek,Passed,Appropriation Bill,20273,2013
LB580,Johnson,Indefinitely postponed,Change certain condemnation procedures,18813,2013
LB581,Crawford,Indefinitely postponed,Change the sales and use tax collection fees,18852,2013
LB582,Carlson,Indefinitely postponed,Appropriate funds to the Nebraska Tourism Commission,18174,2013
LB583,Haar,Passed,Provide duties for the Climate Assessment Response Committee ,18336,2013
LB583A,Haar,Passed,Appropriation Bill,20692,2013
LB584,Smith,Indefinitely postponed,Change Nebraska Workers' Compensation Act medical guidelines and independent medical examiner provisions,18410,2013
LB585,Smith,Passed,Change provisions relating to learning communities and learning community coordinating councils,18866,2013
LB586,Mello,Withdrawn,Provide content for rules and regulations relating to child care and preschools,18638,2013
LB587,Schilz,Indefinitely postponed,Change provisions of the Livestock Brand Act,18710,2013
LB588,Watermeier,Passed,Change veteran employment preference provisions ,18745,2013
LB589,Watermeier,Passed,Change provisions of the One-Call Notification System Act,18896,2013
LB590,Lautenbaugh,Indefinitely postponed,License and regulate wagering on historic horseracing,18688,2013
LB591,Lautenbaugh,Indefinitely postponed,Change civil service commission membership,18587,2013
LB592,Lautenbaugh,Indefinitely postponed,Authorize the carrying of concealed handguns by qualified law enforcement officers and qualified retired law enforcement officers,18908,2013
LB593,Lautenbaugh,Indefinitely postponed,Adopt the Charter Schools Act,18021,2013
LB594,Price,Indefinitely postponed,Provide Nebraska Investment Council duties relating to administration of the Nebraska Veterans' Aid Fund,18926,2013
LB595,Price,Passed,Provide for a Public Service Commission study of next-generation 911,18925,2013
LB595A,Price,Passed,Appropriation Bill,19941,2013
LB596,Price,Indefinitely postponed,Change provisions relating to specialty license plates and Purple Heart license plates,18933,2013
LB597,Larson,Passed,Change provisions relating to county agricultural societies,18962,2013
LB598,Larson,Indefinitely postponed,Change provisions relating to net metering,17829,2013
LB599,Sullivan,Indefinitely postponed,Change exemptions relating to school budget limitations,18357,2013
LB600,Wightman,Indefinitely postponed,Change inheritance tax rates,18667,2013
LB601,Bloomfield,Indefinitely postponed,Require notice for natural resources district subcommittee meetings,18744,2013
LB602,Bloomfield,Indefinitely postponed,Adopt the Nebraska Firearms Freedom Act,18753,2013
LB603,Chambers,Indefinitely postponed,Include affirmation as an alternative when an oath is required,18936,2013
LB604,Haar,Indefinitely postponed,Change computation of the cost growth factor relating to state aid to schools,18709,2013
LB605,Pirsch,Indefinitely postponed,Provide for Telehealth Behavioral Health Services Program,18934,2013
LB606,Pirsch,Indefinitely postponed,Adopt the Nebraska Technology Entrepreneur Act to provide sales and use tax refunds to certain businesses,18913,2013
LB607,Pirsch,Indefinitely postponed,Change provisions relating to protection order violations and conditions of release violations,18910,2013
LB608,Pirsch,Indefinitely postponed,Change provisions relating to stalking,18429,2013
LB609,Pirsch,Indefinitely postponed,Create the Nebraska's Emerging Future Subcommittee of the Legislature's Planning Committee,18181,2013
LB610,Pirsch,Indefinitely postponed,Change provisions relating to terroristic threats,18471,2013
LB611,Pirsch,Indefinitely postponed,Redefine serious bodily injury for purposes of domestic assault,18953,2013
LB612,Schumacher,Passed,Require the Department of Revenue to present reports to legislative committees,18769,2013
LB613,Schumacher,Passed,Change investigatory powers of the Legislative Council and legislative committees,18717,2013
LB614,Schumacher,Indefinitely postponed,Provide for withholding insurance proceeds for demolition costs,18421,2013
LB615,Schumacher,Indefinitely postponed,Provide for summary guardianships,18576,2013
LB616,Schumacher,Passed,Adopt the Nebraska Money Transmitters Act and eliminate the Nebraska Sale of Checks and Funds Transmission Act and provide penalties,18101,2013
LB617,Schumacher,Indefinitely postponed,Change provisions of the Nebraska Telecommunications Universal Service Fund Act,18790,2013
LB618,Karpisek,Indefinitely postponed,Create the Agricultural Land Valuation Task Force,18881,2013
LB619,Haar,Indefinitely postponed,Require instruction in sexual health education,18644,2013
LB620,Legislative Performance Audit Committee,Passed,Require the Department of Administrative Services and University of Nebraska to present health insurance management plans to the Appropriations Committee,18890,2013
LB621,Karpisek,Indefinitely postponed,Exempt certain information from disclosure under the Intergovernmental Risk Management Act,18814,2013
LB622,Haar,Indefinitely postponed,Change provisions relating to a report filed with the Nebraska Power Review Board,18487,2013
LB623,Price,Passed,Change provisions relating to bridge construction and road improvements,18893,2013
LB624,Pirsch,Indefinitely postponed,Provide for fees for copies of motor vehicle accident reports,18906,2013
LB625,Conrad,Indefinitely postponed,Change income eligibility provisions relating to federal child care assistance,18887,2013
LB626,Conrad,Indefinitely postponed,Eliminate an income reduction for extraordinary dividends and certain capital gains,18725,2013
LB627,Conrad,Indefinitely postponed,Provide for termination of certain tax incentives as prescribed,18921,2013
LB628,Conrad,Passed,Change and extend the Small Business Innovation Act,18863,2013
LB629,Conrad,Passed,Change provisions of the Tax Expenditure Reporting Act and require additional information regarding budget submissions from the Governor,18920,2013
LB630,Kolowski,Indefinitely postponed,Redefine place of employment for Nebraska Clean Indoor Air Act,18846,2013
LB631,Harr,Indefinitely postponed,Change provisions relating to garnishment,18329,2013
LB632,Bolz,Indefinitely postponed,Change funding for county offices relating to public assistance programs,18651,2013
LB633,Nordquist,Indefinitely postponed,Include contract violations under disciplinary provisions of Civil Service Act,18823,2013
LB634,Davis,Passed,Adopt the Wildfire Control Act of 2013,18874,2013
LB634A,Davis,Passed,Appropriation Bill,19604,2013
LB635,Wallman,Indefinitely postponed,Provide powers and duties regarding hydraulic fracturing to the Nebraska Oil and Gas Conservation Commission,18751,2013
LB636,Wallman,Indefinitely postponed,Provide restrictions for application of certain herbicides,18865,2013
LB637,Wallman,Indefinitely postponed,Require an economic analysis of rules and regulations proposed by the Department of Environmental Quality,18873,2013
LB638,Nelson,Indefinitely postponed,Provide a cash balance retirement system for school employees,18472,2013
LB639,Nelson,Indefinitely postponed,Make new judges and state patrol officers members of the state employees retirement system,18453,2013
LB640,Hadley,Indefinitely postponed,Change provisions relating to the Tax Equity and Educational Opportunities Support Act,18490,2013
LB641,Sullivan,Withdrawn,Appropriate funds to the Nebraska State Historical Society,18782,2013
LB642,Mello,Indefinitely postponed,Prohibit receiving certain types of wagers on horseracing,18882,2013
LB643,Davis,Passed,Change certain provisions regarding nuisances in cities and villages,18787,2013
LB644,Davis,Withdrawn,Adopt the Contract Carrier Safety Act,18875,2013
LB645,Haar,Indefinitely postponed,Change teacher education allowance and fall personnel report provisions,18860,2013
LB646,Murante,Passed,Change election provisions for public power districts,18868,2013
LB647,Davis,Passed,Change cattle identification provisions of the Animal Importation Act,18929,2013
LB648,Pirsch,Withdrawn,Change penalty for public indecency,18468,2013
LB649,Karpisek,Indefinitely postponed,Change certain penalties relating to operating a motor vehicle during a revocation period and tampering with an ignition interlock device,18943,2013
LB650,Karpisek,Indefinitely postponed,Include asphalt crack filler trailers in the definition of trailer under the Motor Vehicle Registration Act,18942,2013
LB651,Davis,Indefinitely postponed,Eliminate property tax levy and provide for state funding of community colleges,18781,2013
LB652,Lautenbaugh,Indefinitely postponed,Provide procedures for taking grievances by certain county corrections officers to the Civil Service Commission,18867,2013
LB653,Davis,Indefinitely postponed,Change and provide for distribution of the gallonage tax on beer,18778,2013
LB654,Davis,Indefinitely postponed,Change the brand inspection area under the Livestock Brand Act,18876,2013
LB655,Carlson,Indefinitely postponed,Permit collection of fees for insurance consultants,18726,2013
LR1CA,Larson,Indefinitely postponed,Constitutional amendment to change eligibility requirements for members of the Legislature,17832,2013
LR2CA,Pirsch,Indefinitely postponed,Constitutional amendment to require that any bill that imposes or increases a tax be approved by a majority of the members of the Legislature plus four,18182,2013
LR3,Larson,,Congratulate the Wausa Public School one-act team for winning the 2012 Class D-1 state play production championship,18660,2013
LR4,Larson,,Congratulate the Hartington Public School one-act team for winning the 2012 Class C-2 state play production championship,18656,2013
LR5,Larson,,Congratulate Eleanor Wrede Nielsen on her 110th birthday,18594,2013
LR6,Larson,,Congratulate the Mean Green girls' softball team of O'Neill for winning the 2012 Nebraska Amateur Softball Association Fast Pitch 14-Under Class C state championship,17946,2013
LR7,Larson,,Congratulate the Shamrocks girls' softball team of O'Neill for winning the 2012 Nebraska Amateur Softball Association Fast Pitch 18-Under Class C state championship,17945,2013
LR8,Larson,,Congratulate Brady and Riley Wakefield for taking second place in the team roping competition at the 2012 National High School Finals Rodeo,17944,2013
LR9,Janssen,,"Express thanks to Roy Lemons for his service to his community, his state, and his country",18640,2013
LR10,Janssen,,"Express sympathy to the family of Richard ""Dick"" Wikert",18620,2013
LR11,Janssen,,Congratulate the Fremont High School boys' cross country team for winning the 2012 Class A state championship,18562,2013
LR12CA,Harms,Indefinitely postponed,Constitutional amendment to authorize a county manager form of county government,17972,2013
LR13,Brasch,,Congratulate Dick Lindberg on being inducted into the Nebraska Journalism Hall of Fame,18112,2013
LR14,Brasch,,Congratulate Daniel Barber for earning the rank of Eagle Scout,18113,2013
LR15,Brasch,,Congratulate Jacob Jones for achieving the rank of Eagle Scout,18118,2013
LR16,Brasch,,Congratulate Colton Stoner for achieving the rank of Eagle Scout,18119,2013
LR17,Brasch,,Congratulate the Arlington High School softball team for winning the 2012 Class C state championship,18114,2013
LR18,Brasch,,Congratulate Luke Ashton for achieving the rank of Eagle Scout,18116,2013
LR19,Brasch,,Congratulate Dalton Van Stratten for achieving the rank of Eagle Scout,18117,2013
LR20,Lathrop,Referral,Provide for continuation of the Developmental Disabilities Special Investigative Committee,18689,2013
LR21,Scheer,,Congratulate the Norfolk Catholic High School football team for winning the 2012 Class C-1 state championship,18763,2013
LR22,Campbell,Referral,"Provide the Health and Human Services Committee and the Banking, Commerce and Insurance Committee be designated to convene a Partnership Towards Nebraska's Health Care System Transformation",18362,2013
LR23,Avery,Indefinitely postponed,Memorialize Congress to support a constitutional amendment responding to the U.S. Supreme Court decision in Citizens United v. Federal Election Commission,18143,2013
LR24,Nordquist,,Congratulate the Creighton University men's soccer team for their achievements in the 2012 season,18784,2013
LR25,McCoy,,Congratulate Elyse Mancuso for winning the Jeopardy! Teen Tournament,18833,2013
LR26,McCoy,,Congratulate the Elkhorn South High School girls' golf team for winning the 2012 Class B state championship,18834,2013
LR27,McCoy,,Congratulate the Elkhorn South High School boys' tennis team for winning the 2012 Class B state championship,18835,2013
LR28,McCoy,,Congratulate the Mount Michael Benedictine High School boys' cross country team for winning the 2012 Class B state championship,18836,2013
LR29CA,Adams,Indefinitely postponed,Constitutional amendment to change provisions relating to redevelopment projects,18424,2013
LR30,Nelson,,Congratulate Juan Chavez for winning the prestigious Gates Millennium Scholarship,18828,2013
LR31,Campbell,Referral,Provide the Executive Board appoint the Children's Behavioral Health Oversight Committee as a special committee ,18748,2013
LR32,Janssen,,Extend sympathy to the family of Doug Nabb,18797,2013
LR33,Bloomfield,,Extend sympathy to the family of Captain Matthew Justin Meyer,18771,2013
LR34CA,Schumacher,Indefinitely postponed,Constitutional amendment authorizing gaming and directing use of the proceeds ,17981,2013
LR35,Schumacher,,Congratulate Jonathon Kurtis Adam Braasch for earning the rank of Eagle Scout,18948,2013
LR36,Ashford,,Congratulate the Omaha South High School boys' tennis team for their accomplishments,18854,2013
LR37,Janssen,,Extend sympathy to the family of James Ebers,18853,2013
LR38,Avery,Referral,Endorse Taiwan's participation in the International Civil Aviation Organization as an observer and support efforts to grant Taiwan official observer status at the United National Framework Convention on Climate Change,18947,2013
LR39,Bloomfield,,Extend sympathy to the family of Commander Marsha Ann(Heineman)Hanly,18772,2013
LR40,Davis,Referral,Request the United States Forest Service to reconsider its original decision not to pay a proportionate share of the replacement costs of fences destroyed by wildfires between private and public lands in certain counties,18917,2013
LR41CA,Lautenbaugh,Delivered to Governor,Constitutional amendment authorizing legislation for licensing and regulating wagering on live or replayed horseraces,18956,2013
LR42,Brasch,Indefinitely postponed,Urge Congress to pass the Parental Rights Amendment to the United States Constitution and submit it to the states for ratification,18632,2013
LR43,Seiler,,"Congratulate David L. Wacker, Jr., for achieving the rank of Eagle Scout",18960,2013
LR44,Mello,,Congratulate certain honorees for receiving the 80th Annual Ten Outstanding Young Omahans Award,19003,2013
LR45,Crawford,,Congratulate Sergeant Saral Shrestha for being named the 2012 United States Army Soldier of the Year,18961,2013
LR46,Kolowski,,Extend sympathy to the family of George Anderson,19013,2013
LR47,Watermeier,,Congratulate honorees for being named the 2012 Library Volunteers of the Year,19064,2013
LR48,Janssen,,Extend sympathy to the family of Don Dolejs,19097,2013
LR49,Janssen,,Congratulate Jordan Larson and her teammates on winning a silver medal in the women's volleyball competition at the 2012 Summer Olympics,19089,2013
LR50,Bloomfield,,"Congratulate South Sioux City, Nebraska, on its 125th anniversary",18773,2013
LR51,Bloomfield,,"Congratulate Emerson, Nebraska, on its 125th anniversary",18774,2013
LR52,Price,,"Recognize February 17-23, 2013, as Engineers Week in Nebraska",19148,2013
LR53,Harr,,Congratulate Saint Bernard Catholic School on its one hundredth anniversary,19159,2013
LR54,Bloomfield,,Congratulate South Sioux City's unified floor hockey team on winning the gold medal at the 2013 Special Olympics World Winter Games,19161,2013
LR55,Krist,,Congratulate Tom Osborne on his many accomplishments over his outstanding career,19179,2013
LR56,Carlson,,Congratulate Justine Bauer for receiving the 2013 Prudential Spirit of Community Award,19285,2013
LR57,Johnson,,Congratulate Nathan Bazata on winning the 2013 Class D state wrestling championship in the 285-pound division,19318,2013
LR58,Johnson,,Congratulate Austin Svoboda on winning the 2013 Class C state wrestling championship in the 195-pound division,19317,2013
LR59,Schumacher,,Congratulate Nicholas Lutjens on achieving the rank of Eagle Scout,19312,2013
LR60,Adams,,Extend appreciation and congratulations to the honorees for their service to the State of Nebraska,19323,2013
LR61,Campbell,,Congratulate My'Kah Knowlin for receiving the 2013 Prudential Spirit of Community Award,19315,2013
LR62,Wallman,,Congratulate Austin Ruskamp on winning the 2013 Class D state wrestling championship in the 160-pound division,19330,2013
LR63,Wallman,,Congratulate Eric Engler on winning the 2013 Class B state wrestling championship in the 195-pound division,19332,2013
LR64,Wallman,,Congratulate Chance Helmick on winning the 2013 Class B state wrestling championship in the 170-pound division,19331,2013
LR65,Seiler,,Extend sympathy to the family of former Senator Ardyce Bohlke,19381,2013
LR66,Hadley,,Congratulate Thomas Connely on winning the 2013 Class C state wrestling championship in the 170-pound division,19359,2013
LR67,Hadley,,"Declare February 28, 2013, as Support the YMCAs of Nebraska Day",19377,2013
LR68,Hadley,,Congratulate Adam Keating on winning the 2013 Class C state wrestling championship in the 132-pound division,19360,2013
LR69,Hadley,,Congratulate Hunter Bamford for winning the 2013 Class A state wrestling championship in the 126-pound division,19358,2013
LR70,Sullivan,,Congratulate Clayton Lange on winning the 2013 Class C state wrestling championship in the 285-pound division ,19391,2013
LR71,Wallman,,"Congratulate Mosaic, a nonprofit organization that provides opportunities for people with intellectual disabilities, on its one hundredth anniversary",19395,2013
LR72,Avery,,Congratulate D.J. Castillo on his exceptional personal achievements,19361,2013
LR73,Crawford,,Congratulate the Omaha Gross Catholic High School football team on winning the 2012 Class B state football championship,19390,2013
LR74,Howard,,Congratulate Alexandra Baxter for receiving a 2013 Prudential Spirit of Community Award,19435,2013
LR75,Janssen,,Recognize Frank Freeouf for his service to the State of Nebraska,19392,2013
LR76,Bloomfield,,Congratulate the Wayne High School girls' bowling team on winning the 2013 Class C state championship,19365,2013
LR77,Bloomfield,,Congratulate the Emerson-Hubbard High School dance team on winning the Jazz and Hip Hop divisions at the 2013 Class D state cheer and dance championships,19436,2013
LR78,Bloomfield,,Congratulate the Pender High School dance team on winning the Pom division at the 2013 Class D Nebraska state cheer and dance championships,19437,2013
LR79,Pirsch,,Congratulate Madeline Lorenzen for her selection as a distinguished finalist in the 2013 Prudential Spirit of Community Awards,19452,2013
LR80,Brasch,,Congratulate Nick Arlt on winning the 2013 Class D state wrestling championship in the 145-pound division,19471,2013
LR81,Brasch,,Congratulate Will Schany on winning the 2013 Class B state wrestling championship in the 182-pound division,19469,2013
LR82,Brasch,,Congratulate Jason Hansen on winning the 2013 Class C state wrestling championship in the 106-pound division,19470,2013
LR83,Harms,,Congratulate the Scottsbluff High School boys' basketball team for their accomplishments,19546,2013
LR84,Bolz,,Congratulate the Lincoln Southeast High School girls' basketball team on winning the 2013 Class A state championship,19583,2013
LR85,Karpisek,,Congratulate Vince Thatcher on winning the 2013 Class B state wrestling championship in the 145-pound division,19563,2013
LR86,Larson,,Congratulate Josh Coyle on winning the 2013 Class C state wrestling championship in the 182-pound division,19597,2013
LR87,Larson,,Congratulate the Wynot High School girls' basketball team on winning the 2013 Class D-2 state championship,19596,2013
LR88,Janssen,,Extend sympathy to the family of David Heywood,19590,2013
LR89,Larson,,Congratulate the Crofton High School girls' basketball team on winning the 2013 Class C-2 state championship,19598,2013
LR90,Bloomfield,,Congratulate the Pender High School girls' basketball team on winning the 2013 Class D-1 state championship,19562,2013
LR91,Bolz,,Recognize March 2013 as Professional Social Work Month in Nebraska,19643,2013
LR92,Scheer,,Congratulate the Madison High School wrestling team on winning the 2013 Class C state dual championship,19662,2013
LR93,Sullivan,,Congratulate the Pierce High School girls' basketball team on winning the 2013 Class C-1 state championship,19655,2013
LR94,Larson,,Congratulate the Wynot High School boys' basketball team on winning the 2013 Class D-2 state championship,19670,2013
LR95,Scheer,,Congratulate the Newman Grove High School girls' bowling team on winning the 2013 Class D state championship,19679,2013
LR96,Bloomfield,,Congratulate the South Sioux City High School boys' basketball team on winning the 2013 Class B state championship,19703,2013
LR97,Mello,,Recognize the Neighborhood Center for its work promoting neighborhood associations in Omaha,19657,2013
LR98,Nordquist,,Congratulate the Omaha Central High School boys' basketball team on winning the 2013 Class A state championship,19736,2013
LR99,Johnson,,Congratulate the Howells-Dodge High School boys' basketball team for winning the 2013 Class D-1 state championship,19727,2013
LR100,Johnson,,Congratulate the Wahoo High School boys' basketball team for winning the 2013 Class C-1 state championship,19726,2013
LR101,Karpisek,,Congratulate Alexis Page and Nate Harms for being accepted into the Kearney Health Opportunities Program and Anthony Fitzgerald for being accepted into the Rural Health Opportunities Program,19723,2013
LR102,Larson,,Congratulate the Crofton High School girls' cross country team on winning the 2012 Class D state championship,19775,2013
LR103,Coash,,Congratulate Aimee Fischer on becoming a three-time gold medal winner at the 2013 girls' state swimming and diving championships,19811,2013
LR104,Coash,,Congratulate Abby Lunzmann on becoming a state gold medalist at the 2013 girls' state state swimming and diving championships,19809,2013
LR105,Coash,,Congratulate Vladislav Blazhievskiy on becoming a state gold medalist at the 2013 boys' State swimming and diving championships,19812,2013
LR106,Karpisek,,Congratulate Emma Vertin on becoming a state gold medalist at the 2013 girls' state swimming and diving championships,19786,2013
LR107,Christensen,,Congratulate Austin Thelander on winning the 2013 Class D state wrestling championship in the 106-pound division,19825,2013
LR108,Christensen,,Congratulate the Southern Valley High School boys' basketball team on winning the 2013 Class C-2 state championship,19826,2013
LR109,Christensen,,Congratulate Rulon Taylor on winning the 2013 Class D state wrestling championship in the 220-pound division,19828,2013
LR110,Avery,,Congratulate Meredith Wekesser on her exceptional personal achievements,19791,2013
LR111,McGill,Referral,"Interim study to explore the possibility of replicating the Delancey Street Foundation in Nebraska, which is considered one of the nation's leading self-help residential education centers for ex-convicts and former substance abusers",19201,2013
LR112,Bolz,,Congratulate Patricia Morrow on her exceptional personal achievements,19859,2013
LR113,Bolz,,Congratulate Sophia Nelson on becoming a state gold medalist at the 2013 girls' state swimming and diving championships,19860,2013
LR114,Bolz,,Congratulate Alexa Goldenstein on her exceptional personal achievements,19858,2013
LR115,Davis,,"Congratulate the city of Alliance, Nebraska, on 125 years of progress",19808,2013
LR116,Campbell,,Congratulate Ellie Walstad on her exceptional personal achievements,19818,2013
LR117,Gloor,,Congratulate the Grand Island Senior High School wrestling team on winning the 2013 Class A state championship,19897,2013
LR118,Larson,,Congratulate Jan Schiferl on her selection as the 2013 Nebraska Mother of the Year,19952,2013
LR119,Scheer,,"Congratulate Newman Grove, Nebraska, on its 125th anniversary",19916,2013
LR120,Brasch,,Congratulate Kristyn Schlickbernd for placing first in Informative Speaking at the 2013 Class C-1 state speech championship,19968,2013
LR121,Gloor,,Commend the members of Students Against Destructive Decisions at Grand Island Senior High School for their efforts in educating young people and the public,19967,2013
LR122,Hansen,,Recognize November 2013 as Nebraska Caregivers Month,19970,2013
LR123,Price,,Recognize April 2013 as Personal Security Awareness Month in Nebraska,19994,2013
LR124,Johnson,,"Congratulate Jon ""Jake"" Jacoby on being honored with the Nebraska EMT of the Year Award",20020,2013
LR125,Howard,,Recognize the quality education Duchesne Academy of the Sacred Heart has provided to young women,20080,2013
LR126,Seiler,,Congratulate Matthew L. Schwab on achieving the rank of Eagle Scout,20023,2013
LR127,Seiler,,Congratulate Douglas M. Johnson on achieving the rank of Eagle Scout,20036,2013
LR128,Seiler,,Congratulate Caleb Schlick on achieving the rank of Eagle Scout,20035,2013
LR129,Seiler,,Congratulate Gage M. Haack on achieving the rank of Eagle Scout,20034,2013
LR130,Seiler,,Congratulate Shaun D. Eborn on achieving the rank of Eagle Scout,20033,2013
LR131,Seiler,,Congratulate Collin Spilinek on achieving the rank of Eagle Scout,20032,2013
LR132,Seiler,,Congratulate Kyl Rouse on achieving the rank of Eagle Scout,20031,2013
LR133,Seiler,,Congratulate Kenneth A. Wochner on achieving the rank of Eagle Scout,20030,2013
LR134,Seiler,,Congratulate Joseph A. Matticks on achieving the rank of Eagle Scout,20029,2013
LR135,Seiler,,Congratulate Michael A. Cox II on achieving the rank of Eagle Scout,20028,2013
LR136,Seiler,,Congratulate Aaron J. Bono on achieving the rank of Eagle Scout,20027,2013
LR137,Seiler,,Congratulate Tyler J. Lantis on achieving the rank of Eagle Scout,20024,2013
LR138,Seiler,,Congratulate Aaron G. Hemberger on achieving the rank of Eagle Scout,20025,2013
LR139,Larson,,Congratulate Anna Creekmore on her accomplishments at the 2013 Class D-1 state speech championship,20100,2013
LR140,Larson,,Congratulate Rachel Flaugh on her accomplishments at the 2013 Class D-1 state speech championship,20099,2013
LR141,Larson,,"Congratulate the Hartington Public School speech team on winning the 2013 Class,2013
D-1 state speech championship",20098,2013
LR142,Mello,,"Designate April 22, 2013, as Earth Day in the State of Nebraska",19532,2013
LR143,Krist,Referral,Interim study to examine children's day health services,20154,2013
LR144,McGill,,Congratulate Kenny Martin on his state wrestling championship and his exceptional personal achievements,20166,2013
LR145,McCoy,,Congratulate Jack Hoffman for his Husker spring football game touchdown and recognize his courageous personal struggle with brain cancer,20175,2013
LR146,Schumacher,,Congratulate Irene Hajek on her 105th birthday,20216,2013
LR147,McGill,,Recognize and support programs and initiatives to engage our youth through service learning and volunteerism in our community,20017,2013
LR148,Johnson,,Congratulate Rhonda Cerny on winning the 2013 National Volunteer Fire Council Fire Prevention Award,20236,2013
LR149,Lathrop,,Congratulate the Creighton University men's basketball team for their outstanding achievements during the 2012-2013 season,20189,2013
LR150,Lathrop,,Congratulate the Creighton University women's basketball team for their outstanding achievements during the 2012-2013 season,20190,2013
LR151,Nordquist,,Congratulate Doug McDermott for his outstanding accomplishments in the 2012-2013 basketball season,20261,2013
LR152,Pirsch,,Extend deepest sympathy to the victims of the bombings at the Boston Marathon and their families,20285,2013
LR153,Crawford,,"Congratulate Johnny Torres, Assistant Coach of the Creighton University men's soccer team, for receiving national recognition for his work as a coach and mentor",20270,2013
LR154,Krist,,Congratulate Justin Myers and William Scheopner for the awards they received at the 2012 National History Day competition,18089,2013
LR155,Chambers,Referral,Create the Tax Modernization Committee as a special legislative committee,20365,2013
LR156,Crawford,,Congratulate Jerry Mosser on being the first honoree inducted into the Bellevue University Athletic Hall of Fame and recognize his years of service,20338,2013
LR157,Seiler,,Congratulate Stacy Shaw on her remarkable finish in the 2013 Boston Marathon,20390,2013
LR158,Davis,,Congratulate the Beel Family on receiving the 2013 Nebraska Leopold Conservation Award,20370,2013
LR159,Crawford,,Congratulate the Bellevue Mission Middle School's science olympiad team on winning the middle school division at the 2013 Nebraska Science Olympiad and extend best wishes at the national tournament  ,20402,2013
LR160,Crawford,,Congratulate Bellevue East High School and Bellevue West High School for their achievements at the 2013 Nebraska Science Olympiad ,20407,2013
LR161,Dubas,,Congratulate Brad Santin on achieving the rank of Eagle Scout,20451,2013
LR162,Dubas,,Congratulate Brett Santin on achieving the rank of Eagle Scout,20452,2013
LR163,Dubas,,Congratulate Cody McClellan on achieving the rank of Eagle Scout,20453,2013
LR164,Dubas,,Congratulate Heath McClellan on achieving the rank of Eagle Scout,20454,2013
LR165,Mello,Referral,Interim study to examine issues surrounding tax settlements,20517,2013
LR166,Mello,Referral,Interim study to examine issues surrounding the creation of revolving funds to finance energy conservation measures in Nebraska K-12 school districts,20325,2013
LR167,Mello,Referral,Interim study to examine issues surrounding personal identifying information collected by state and local governments and private businesses,20326,2013
LR168,Davis,,Congratulate Bruce Parish on being named District VI Athletic Director of the Year and recognize his years of service in education ,20542,2013
LR169,Davis,,Congratulate Rod Worrell on his election as president of the Nebraska Press Association,20543,2013
LR170,Crawford,Referral,Interim study to examine the liability insurance mandate contained in the Child Care Licensing Act,20574,2013
LR171,Dubas,Referral,Support the development and designation of a continuous Chief Standing Bear Trail from Nebraska to Oklahoma ,20605,2013
LR172,Hansen,,"Extend sympathy to the family of Richard ""Dick"" Aupperle ",20609,2013
LR173,Nordquist,,Recognize the Nebraska Chapter of the March of Dimes on its 75th anniversary,20428,2013
LR174,Campbell,,"Recognize May 9, 2013, as National Children's Mental Health Awareness Day",20706,2013
LR175,Sullivan,Referral,Interim study to examine the craft brewery industry in Nebraska to develop potential tax policy and statutory law to encourage growth of the industry,20704,2013
LR176,Seiler,,Congratulate the students and teachers at Alcott Elementary School for gaining recognition as a National Model Professional Learning Community School,20726,2013
LR177,Hadley,,"Extend sympathy to the families and friends of the firefighters killed in West, Texas, on April 17, 2013",20720,2013
LR178,Hadley,,Commend various groups and individuals for taking the initiative and having the insight to support the Great Platte River Road Archway,20721,2013
LR179,Smith,,Recognize the 20th anniversary of the commissioning of the USS Nebraska,20637,2013
LR180,Crawford,,Congratulate Janis Elliott for receiving the NSEA Teaching Excellence Award and commend her for her dedication and service,20743,2013
LR181,Sullivan,Referral,Interim study to examine issues under the jurisdiction of the Education Committee,20739,2013
LR182,Education Committee,Referral,"Interim study to examine alternatives for the financing and delivery of public early childhood, elementary, and secondary education in Nebraska",20770,2013
LR183,Larson,Referral,Interim study to examine Nebraska's drainage statutes as they apply to drainage by neighboring landowners under section 31-201 and other related statutes,20703,2013
LR184,Larson,Referral,Interim study to examine the costs and benefits associated with lowering the age of majority to eighteen years of age,20702,2013
LR185,Krist,,Commend Officer Leighanne Loges for her life-saving actions and for setting a high standard of professionalism for her fellow law enforcement officers,20768,2013
LR186,Krist,Referral,"Interim study to examine issues relating to enactment of a tax-credit scholarship program as contemplated by LB14, 2013",20749,2013
LR187,Harr,Referral,Interim study to determine whether Nebraska's business entity statutes should be updated,20723,2013
LR188,Gloor,Referral,Interim study to examine issues relating to the implementation of the federal Patient Protection and Affordable Care Act as it pertains to Nebraska,20733,2013
LR189,McGill,Referral,"Interim study to examine certain statutes to harmonize language, policies, and practices regarding the different classifications of cities and villages",20728,2013
